时间,类型,城市,城市ID,空气质量,空气质量核减,空气质量变化,A,B,C,D,E,F,G,H
1月10日,1,1,1,53,,,,,,,,,,
1月10日,1,2,2,46,,,,,,,,,,
1月10日,1,3,3,112,,,,,,,,,,
1月10日,1,4,4,38,,,,,,,,,,
1月10日,1,5,5,70,,,,,,,,,,
1月10日,1,6,6,57,,,,,,,,,,
1月10日,1,7,7,89,,,,,,,,,,
1月10日,1,8,8,51,,,,,,,,,,
1月10日,1,9,9,33,,,,,,,,,,
1月10日,1,10,10,56,,,,,,,,,,
1月11日,1,1,1,81,,,,,,,,,,
1月11日,1,2,2,172,,,,,,,,,,
1月11日,1,3,3,250,,,,,,,,,,
1月11日,1,4,4,108,,,,,,,,,,
1月11日,1,5,5,94,,,,,,,,,,
1月11日,1,6,6,56,,,,,,,,,,
1月11日,1,7,7,119,,,,,,,,,,
1月11日,1,8,8,89,,,,,,,,,,
1月11日,1,9,9,53,,,,,,,,,,
1月11日,1,10,10,49,,,,,,,,,,
1月12日,1,1,1,61,,,,,,,,,,
1月12日,1,2,2,184,,,,,,,,,,
1月12日,1,3,3,126,,,,,,,,,,
1月12日,1,4,4,74,,,,,,,,,,
1月12日,1,5,5,76,,,,,,,,,,
1月12日,1,6,6,66,,,,,,,,,,
1月12日,1,7,7,136,,,,,,,,,,
1月12日,1,8,8,53,,,,,,,,,,
1月12日,1,9,9,69,,,,,,,,,,
1月12日,1,10,10,44,,,,,,,,,,
1月13日,1,1,1,23,,,,,,,,,,
1月13日,1,2,2,46,,,,,,,,,,
1月13日,1,3,3,164,,,,,,,,,,
1月13日,1,4,4,41,,,,,,,,,,
1月13日,1,5,5,86,,,,,,,,,,
1月13日,1,6,6,52,,,,,,,,,,
1月13日,1,7,7,76,,,,,,,,,,
1月13日,1,8,8,56,,,,,,,,,,
1月13日,1,9,9,36,,,,,,,,,,
1月13日,1,10,10,52,,,,,,,,,,
1月14日,1,1,1,35,,,,,,,,,,
1月14日,1,2,2,40,,,,,,,,,,
1月14日,1,3,3,193,,,,,,,,,,
1月14日,1,4,4,53,,,,,,,,,,
1月14日,1,5,5,96,,,,,,,,,,
1月14日,1,6,6,74,,,,,,,,,,
1月14日,1,7,7,76,,,,,,,,,,
1月14日,1,8,8,46,,,,,,,,,,
1月14日,1,9,9,45,,,,,,,,,,
1月14日,1,10,10,36,,,,,,,,,,
1月15日,1,1,1,71,,,,,,,,,,
1月15日,1,2,2,45,,,,,,,,,,
1月15日,1,3,3,272,,,,,,,,,,
1月15日,1,4,4,84,,,,,,,,,,
1月15日,1,5,5,283,,,,,,,,,,
1月15日,1,6,6,141,,,,,,,,,,
1月15日,1,7,7,119,,,,,,,,,,
1月15日,1,8,8,143,,,,,,,,,,
1月15日,1,9,9,43,,,,,,,,,,
1月15日,1,10,10,75,,,,,,,,,,
1月16日,1,1,1,122,,,,,,,,,,
1月16日,1,2,2,87,,,,,,,,,,
1月16日,1,3,3,231,,,,,,,,,,
1月16日,1,4,4,75,,,,,,,,,,
1月16日,1,5,5,323,,,,,,,,,,
1月16日,1,6,6,167,,,,,,,,,,
1月16日,1,7,7,142,,,,,,,,,,
1月16日,1,8,8,143,,,,,,,,,,
1月16日,1,9,9,58,,,,,,,,,,
1月16日,1,10,10,178,,,,,,,,,,
1月17日,1,1,1,178,,,,,,,,,,
1月17日,1,2,2,162,,,,,,,,,,
1月17日,1,3,3,264,,,,,,,,,,
1月17日,1,4,4,141,,,,,,,,,,
1月17日,1,5,5,132,,,,,,,,,,
1月17日,1,6,6,69,,,,,,,,,,
1月17日,1,7,7,96,,,,,,,,,,
1月17日,1,8,8,194,,,,,,,,,,
1月17日,1,9,9,110,,,,,,,,,,
1月17日,1,10,10,204,,,,,,,,,,
1月18日,1,1,1,55,,,,,,,,,,
1月18日,1,2,2,156,,,,,,,,,,
1月18日,1,3,3,420,,,,,,,,,,
1月18日,1,4,4,78,,,,,,,,,,
1月18日,1,5,5,96,,,,,,,,,,
1月18日,1,6,6,91,,,,,,,,,,
1月18日,1,7,7,76,,,,,,,,,,
1月18日,1,8,8,159,,,,,,,,,,
1月18日,1,9,9,129,,,,,,,,,,
1月18日,1,10,10,192,,,,,,,,,,
1月19日,1,1,1,85,,,,,,,,,,
1月19日,1,2,2,97,,,,,,,,,,
1月19日,1,3,3,212,,,,,,,,,,
1月19日,1,4,4,66,,,,,,,,,,
1月19日,1,5,5,94,,,,,,,,,,
1月19日,1,6,6,71,,,,,,,,,,
1月19日,1,7,7,42,,,,,,,,,,
1月19日,1,8,8,162,,,,,,,,,,
1月19日,1,9,9,65,,,,,,,,,,
1月19日,1,10,10,112,,,,,,,,,,
1月20日,1,1,1,37,,,,,,,,,,
1月20日,1,2,2,34,,,,,,,,,,
1月20日,1,3,3,84,,,,,,,,,,
1月20日,1,4,4,42,,,,,,,,,,
1月20日,1,5,5,75,,,,,,,,,,
1月20日,1,6,6,60,,,,,,,,,,
1月20日,1,7,7,73,,,,,,,,,,
1月20日,1,8,8,54,,,,,,,,,,
1月20日,1,9,9,40,,,,,,,,,,
1月20日,1,10,10,88,,,,,,,,,,
